"sbjCode","condit","distortion","Pattern_Token","Category","Response","Corr","rt","x1","y1","x2","y2","x3","y3","x4","y4","x5","y5","x6","y6","x7","y7","x8","y8","x9","y9"
"sub51","high","high","new_high",3,3,1,1536,-21,12,6,-8,-9,16,-1,-10,6,-20,-1,-7,14,-4,8,11,9,1
"sub380","high","high","new_high",3,3,1,2891,-21,14,-10,22,12,8,16,10,1,19,-12,9,13,-7,24,4,-1,1
"sub21","low","high","new_high",1,3,0,3034,-21,16,-4,17,6,-4,2,-1,15,3,-8,-15,-11,-9,0,-8,9,9
"sub105","mixed","high","new_high",3,3,1,877,-21,16,-10,-1,10,-10,8,13,11,-3,12,-14,-1,10,-6,11,11,12
"sub281","mixed","high","new_high",2,1,0,1993,-21,19,-11,-2,6,-14,3,21,-8,3,-8,-7,11,-15,0,12,2,-7
"sub298","low","high","new_high",1,2,0,753,-20,-20,-7,-7,1,-6,8,12,11,11,8,0,-8,4,14,0,-6,0
"sub332","high","high","new_high",1,1,1,572,-20,-18,-9,3,-1,8,-10,-16,-4,6,2,14,-5,15,3,-1,-10,12
"sub5","low","high","new_high",3,2,0,151,-20,-17,4,-15,5,10,17,9,-11,2,10,12,7,-8,3,2,5,3
"sub314","low","med","new_med",3,2,0,2312,-20,-16,7,-1,15,6,17,-12,0,-2,-12,-7,-2,6,-8,13,5,-6
"sub53","low","high","new_high",3,3,1,1159,-20,-16,-23,-2,-13,6,-8,-12,4,-4,12,-1,-4,13,8,-7,2,0
"sub53","low","high","new_high",3,3,1,1229,-20,-16,-13,-4,-17,2,-2,-8,-1,-12,23,-6,-5,12,15,-8,5,6
"sub109","mixed","high","old",3,3,1,899,-20,-15,11,16,4,12,-10,-4,8,12,4,8,-3,0,-9,9,-10,-15
"sub399","medium","high","new_high",2,2,1,819,-20,-14,7,4,-4,7,-5,15,-5,-16,2,0,13,11,-8,3,2,-9
"sub63","high","high","old",3,3,1,2237,-20,-12,0,-12,-8,-8,-11,-5,2,9,-9,9,-3,-3,-12,13,-1,-7
"sub33","low","med","new_med",1,1,1,737,-20,-11,-4,-12,-9,-13,-8,16,3,-15,12,3,-8,10,15,-7,4,-2
"sub399","medium","med","new_med",1,1,1,2095,-20,-11,16,-3,-5,-8,-11,-4,-4,13,-4,0,15,-16,8,-14,8,2
"sub30","medium","med","old",1,1,1,710,-20,-10,-16,8,-15,12,12,-14,-6,13,-7,-20,-11,3,-12,-11,15,-14
"sub68","mixed","med","new_med",1,3,0,1877,-20,-10,-6,-2,12,5,10,-10,-13,5,12,-14,-10,-8,7,-11,3,14
"sub122","low","high","new_high",2,2,1,1053,-20,-9,-16,-1,4,-15,-2,18,-10,-16,8,-10,-9,19,-7,-3,15,-7
"sub332","high","high","new_high",1,1,1,763,-20,-9,-9,2,3,14,-8,-12,-4,8,6,10,-6,14,8,0,-21,10
"sub242","medium","high","new_high",2,2,1,1450,-20,-8,0,-1,10,16,16,4,-14,10,-10,2,-23,9,5,-9,-3,-19
"sub311","medium","med","new_med",3,3,1,2643,-20,-8,-4,-9,6,-13,-12,12,-7,-1,0,-10,5,7,7,-11,-9,-11
"sub51","high","high","new_high",2,2,1,597,-20,-7,0,11,14,-16,-20,6,4,18,10,10,5,0,-6,11,-1,5
"sub209","low","med","new_med",3,3,1,1085,-20,-6,-6,10,10,-5,7,-6,11,1,10,6,11,10,-11,-9,-2,13
"sub5","low","high","new_high",3,3,1,1286,-20,-6,-2,-2,19,-9,15,5,-10,-3,17,6,5,-11,-7,-4,16,-7
"sub355","medium","med","old",1,2,0,493,-20,-5,15,-5,1,-13,0,15,-8,-10,4,-9,4,-12,14,-10,13,13
"sub383","medium","high","new_high",1,1,1,873,-20,-4,-11,-8,-20,6,-5,8,-2,10,3,12,-6,12,-3,-13,-1,-6
"sub311","medium","high","new_high",3,3,1,900,-20,-3,-4,-12,9,-21,-17,16,2,-6,0,-11,-6,12,11,-3,-15,-12
"sub63","high","high","old",3,2,0,1242,-20,-3,-2,-8,-12,-9,-4,-11,7,7,-5,10,-2,0,-15,16,1,-9
"sub258","medium","high","new_high",1,1,1,1607,-20,-2,0,11,12,11,-5,-2,4,16,3,-14,14,-20,3,2,-9,5
"sub67","high","high","old",3,3,1,2804,-20,-2,-13,3,16,-21,11,-8,-9,-4,15,-8,-7,4,13,7,14,-5
"sub224","mixed","med","new_med",3,3,1,1396,-20,-1,-3,5,5,4,-6,0,-4,15,-8,12,-8,-11,10,-5,-11,-5
"sub309","mixed","high","old",2,3,0,602,-20,-1,-12,17,11,-5,-11,7,8,6,5,-1,12,-10,-8,6,3,-7
"sub313","mixed","high","new_high",2,2,1,3826,-20,-1,5,4,8,-7,5,-2,-9,1,-6,-9,-9,5,4,9,0,7
"sub373","mixed","high","new_high",1,2,0,2636,-20,-1,-19,-13,-4,4,0,4,24,13,-10,-3,-18,12,12,-9,-3,-1
"sub373","mixed","high","old",1,3,0,712,-20,-1,-13,-2,13,11,-9,14,11,16,-14,-4,-1,14,20,-18,-7,4
"sub202","medium","med","new_med",3,3,1,1133,-20,0,-15,8,8,-7,-10,-1,0,-15,-10,-10,3,-7,14,4,-5,1
"sub311","medium","high","new_high",3,3,1,1113,-20,0,-4,-9,3,-19,-12,17,-5,1,0,-13,2,9,7,-8,-12,-10
"sub396","high","high","old",1,1,1,1530,-20,0,-21,-11,-2,0,-7,17,12,-6,22,13,3,-4,-16,8,-15,5
"sub236","mixed","high","new_high",1,1,1,3513,-20,1,-1,22,-18,-5,4,-3,2,-4,-4,-6,-9,-17,-11,5,3,11
"sub341","mixed","high","new_high",3,3,1,1170,-20,1,-3,-2,13,10,17,8,-4,-14,9,-10,-2,-16,13,-5,-6,2
"sub229","low","high","new_high",2,2,1,13339,-20,2,10,-20,6,-14,-1,-5,6,-4,13,-6,-6,2,-4,-2,-11,-14
"sub74","medium","high","new_high",1,1,1,2369,-20,4,15,14,-21,-13,-13,-13,2,11,8,7,-12,-8,2,0,-5,-4
"sub372","high","high","old",2,2,1,1330,-20,4,21,-17,12,8,9,15,7,-7,-1,-1,7,4,7,12,-8,9
"sub263","high","med","new_med",1,3,0,762,-20,5,6,5,8,6,-5,-13,-13,-6,9,-24,-10,10,4,-6,3,11
"sub301","mixed","high","new_high",2,2,1,1951,-20,5,9,7,-9,-5,-10,3,-12,5,7,-9,5,-3,-4,-5,13,-9
"sub95","medium","high","new_high",2,3,0,2521,-20,6,2,-15,-1,11,-19,10,10,14,-13,-9,-6,7,16,13,15,3
"sub231","high","high","old",2,2,1,139,-20,6,9,19,13,-1,-6,11,4,7,8,11,12,-7,17,13,7,-13
"sub274","medium","med","old",2,2,1,303,-20,7,3,4,12,3,4,7,15,-13,9,6,11,-7,-13,0,-9,15
"sub285","mixed","high","new_high",1,1,1,1185,-20,7,-10,-3,12,0,-8,9,8,-16,16,11,-3,-5,-10,-8,21,-8
"sub301","mixed","high","new_high",2,1,0,917,-20,7,3,2,-15,0,-15,3,-8,10,-4,-13,-3,-7,-3,-4,17,-3
"sub375","medium","high","new_high",1,3,0,2674,-20,9,-4,3,10,-11,-9,-6,-7,3,-3,12,3,-13,5,-8,5,16
"sub375","medium","high","new_high",1,1,1,626,-20,9,-6,4,17,-11,-11,-3,-12,11,-14,7,0,-14,-2,-3,6,8
"sub256","mixed","high","old",2,3,0,1516,-20,11,-2,-7,-1,12,12,6,6,4,2,3,-4,-12,14,11,13,14
"sub32","mixed","high","old",1,1,1,704,-20,11,-10,8,7,-16,6,13,8,19,-8,6,14,-2,-5,0,-8,1
"sub38","medium","med","new_med",2,2,1,733,-20,12,16,-3,-10,7,-4,14,-1,-4,-12,-4,-7,11,-10,11,-3,2
"sub19","high","high","old",3,1,0,972,-20,13,-17,-16,8,12,15,-8,4,1,17,-1,13,22,-16,9,-5,13
"sub51","high","high","new_high",3,3,1,1117,-20,13,10,-2,-15,19,-10,-16,1,-12,9,-8,21,-5,8,11,1,-6
"sub115","medium","med","new_med",3,3,1,4559,-20,14,7,16,-1,-16,11,12,11,-10,-9,-6,-3,-5,3,-1,13,1
"sub384","high","high","old",2,2,1,603,-20,14,2,4,3,-3,-14,13,-1,-15,4,14,5,-2,4,1,-13,1
"sub286","low","high","new_high",3,3,1,1052,-20,17,9,-8,11,-11,11,11,11,-7,12,-13,-2,9,8,-21,3,-20
"sub216","mixed","high","new_high",3,3,1,1956,-20,17,4,20,-22,-4,-3,14,3,12,4,0,-3,-16,-19,11,7,15
"sub263","high","high","new_high",3,2,0,1317,-20,18,-2,3,12,2,-2,-15,9,-9,16,-14,0,15,-6,-7,5,16
"sub369","mixed","low","new_low",2,2,1,1115,-20,18,-2,-12,-10,-9,2,-8,-1,4,8,-11,-14,-3,-1,-10,-15,-7
"sub115","medium","high","new_high",3,2,0,783,-20,19,11,14,-5,-8,6,12,12,-10,-3,-18,4,3,-7,-4,8,-6
"sub105","mixed","high","new_high",3,3,1,511,-20,19,3,1,8,-1,14,13,19,8,16,-21,-12,1,-2,13,3,12
"sub301","mixed","high","old",2,2,1,1100,-20,20,3,1,-20,-6,-16,10,-7,14,0,-8,2,-7,-6,-6,16,-1
"sub239","high","low","new_low",2,2,1,4057,-20,21,-4,3,4,-3,9,15,-4,-5,4,-11,-2,0,-7,-17,2,11
"sub314","low","med","new_med",3,3,1,6426,-19,-21,19,4,15,9,11,-5,5,-11,-13,-10,-7,-3,-5,6,0,-7
"sub399","medium","high","new_high",2,2,1,1433,-19,-20,16,-4,-1,8,-1,16,-1,-15,-5,8,13,12,-11,6,0,-5
