"id","sbjCode","condit","Category","Pattern.Type","file","n","Corr","item_label"
"106.low","106","low",3,"prototype","dot_cond1_sub106.txt",1,1,"106_low_3_317"
"106.low","106","low",3,"old","dot_cond1_sub106.txt",99,0.929292929292929,"106_low_3_317"
"106.low","106","low",3,"new_low","dot_cond1_sub106.txt",3,1,"106_low_3_317"
"106.low","106","low",3,"new_med","dot_cond1_sub106.txt",6,1,"106_low_3_317"
"106.low","106","low",3,"new_high","dot_cond1_sub106.txt",9,0.666666666666667,"106_low_3_317"
"107.medium","107","medium",1,"prototype","dot_cond2_sub107.txt",1,1,"107_medium_1_272"
"107.medium","107","medium",1,"old","dot_cond2_sub107.txt",99,0.919191919191919,"107_medium_1_272"
"107.medium","107","medium",1,"new_low","dot_cond2_sub107.txt",3,0.666666666666667,"107_medium_1_272"
"107.medium","107","medium",1,"new_med","dot_cond2_sub107.txt",6,1,"107_medium_1_272"
"107.medium","107","medium",1,"new_high","dot_cond2_sub107.txt",9,0.888888888888889,"107_medium_1_272"
"107.medium","107","medium",2,"prototype","dot_cond2_sub107.txt",1,1,"107_medium_2_308"
"107.medium","107","medium",2,"old","dot_cond2_sub107.txt",99,0.747474747474748,"107_medium_2_308"
"107.medium","107","medium",2,"new_low","dot_cond2_sub107.txt",3,0.666666666666667,"107_medium_2_308"
"107.medium","107","medium",2,"new_med","dot_cond2_sub107.txt",6,1,"107_medium_2_308"
"107.medium","107","medium",2,"new_high","dot_cond2_sub107.txt",9,0.888888888888889,"107_medium_2_308"
"107.medium","107","medium",3,"prototype","dot_cond2_sub107.txt",1,1,"107_medium_3_289"
"107.medium","107","medium",3,"old","dot_cond2_sub107.txt",99,0.848484848484849,"107_medium_3_289"
"107.medium","107","medium",3,"new_low","dot_cond2_sub107.txt",3,1,"107_medium_3_289"
"107.medium","107","medium",3,"new_med","dot_cond2_sub107.txt",6,0.833333333333333,"107_medium_3_289"
"107.medium","107","medium",3,"new_high","dot_cond2_sub107.txt",9,1,"107_medium_3_289"
"108.high","108","high",1,"prototype","dot_cond3_sub108.txt",1,1,"108_high_1_306"
"108.high","108","high",1,"old","dot_cond3_sub108.txt",99,0.515151515151515,"108_high_1_306"
"108.high","108","high",1,"new_low","dot_cond3_sub108.txt",3,1,"108_high_1_306"
"108.high","108","high",1,"new_med","dot_cond3_sub108.txt",6,0.333333333333333,"108_high_1_306"
"108.high","108","high",1,"new_high","dot_cond3_sub108.txt",9,0.555555555555556,"108_high_1_306"
"108.high","108","high",2,"prototype","dot_cond3_sub108.txt",1,1,"108_high_2_277"
"108.high","108","high",2,"old","dot_cond3_sub108.txt",99,0.555555555555556,"108_high_2_277"
"108.high","108","high",2,"new_low","dot_cond3_sub108.txt",3,0.666666666666667,"108_high_2_277"
"108.high","108","high",2,"new_med","dot_cond3_sub108.txt",6,0.833333333333333,"108_high_2_277"
"108.high","108","high",2,"new_high","dot_cond3_sub108.txt",9,0.777777777777778,"108_high_2_277"
"108.high","108","high",3,"prototype","dot_cond3_sub108.txt",1,1,"108_high_3_336"
"108.high","108","high",3,"old","dot_cond3_sub108.txt",99,0.434343434343434,"108_high_3_336"
"108.high","108","high",3,"new_low","dot_cond3_sub108.txt",3,1,"108_high_3_336"
"108.high","108","high",3,"new_med","dot_cond3_sub108.txt",6,0.666666666666667,"108_high_3_336"
"108.high","108","high",3,"new_high","dot_cond3_sub108.txt",9,1,"108_high_3_336"
"109.mixed","109","mixed",1,"prototype","dot_cond4_sub109.txt",1,1,"109_mixed_1_346"
"109.mixed","109","mixed",1,"old","dot_cond4_sub109.txt",99,0.707070707070707,"109_mixed_1_346"
"109.mixed","109","mixed",1,"new_low","dot_cond4_sub109.txt",3,1,"109_mixed_1_346"
